dog,birthday,date_box_test,date_test,age,castration,breed,sex,dias_total,box_errors,condition,condition_order,session,trial_2,trial,delay,latency_partner,latency_subject,dog_press,partner_press,press_first,time_between_press,Success,errortype,dog_see,prop_gaze_before15,prop_gaze_after15
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,50,40,3,3.6,4.8,y,y,owner,1.2,y,NA,NA,1,0.311111111
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,51,41,9,9.4,NA,n,y,owner,NA,n,nopress,0,0,1
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,52,42,3,3.8,3.8,y,y,NA,0,y,NA,NA,0.666666667,0.066666667
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,53,43,9,NA,1.4,y,n,dog,NA,n,earlypress,NA,NA,NA
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,54,44,3,3.6,NA,n,y,owner,NA,n,nopress,1,0.377777778,1
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,55,45,9,8,NA,n,y,owner,NA,n,nopress,1,0.555555556,0.355555556
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,56,46,6,7,7.2,y,y,owner,0.2,y,NA,NA,1,0.422222222
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,57,47,3,3.8,NA,n,y,owner,NA,n,nopress,1,1,1
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,58,48,6,6.4,9.2,y,y,owner,2.8,n,latepress,NA,0.533333333,0.311111111
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,59,49,9,9.4,NA,n,y,owner,NA,n,nopress,1,1,1
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,60,50,9,8.8,8.6,y,y,dog,0.2,y,NA,NA,1,0.266666667
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,61,51,3,3.6,4.2,y,y,owner,0.6,y,NA,NA,1,0.111111111
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,62,52,6,6.8,7,y,y,owner,0.2,y,NA,NA,0.977777778,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,63,53,3,4.4,NA,n,y,owner,NA,n,nopress,1,1,0.088888889
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,64,54,6,6.2,6.4,y,y,owner,0.2,y,NA,NA,0.511111111,0.111111111
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,65,55,9,9.6,9.6,y,y,NA,0,y,NA,NA,1,0.066666667
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,66,56,6,6.4,NA,n,y,owner,NA,n,nopress,1,1,0.155555556
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,67,57,9,9,9,y,y,NA,0,y,NA,NA,1,0.155555556
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,68,58,6,5.8,6.4,y,y,owner,0.6,y,NA,NA,0.822222222,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,69,59,3,3.8,NA,n,y,owner,NA,n,nopress,1,1,1
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,70,60,6,7.2,5.2,y,y,dog,2,n,earlypress,NA,0.422222222,0.6
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,71,61,3,3.8,4.6,y,y,owner,0.8,y,NA,NA,0.955555556,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,72,62,9,8.2,8,y,y,dog,0.2,y,NA,NA,1,0.288888889
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,3,73,63,3,3.6,3.8,y,y,owner,0.2,y,NA,NA,0.6,0.244444444
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,74,64,9,9,9,y,y,NA,0,y,NA,NA,0.333333333,0.088888889
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,75,65,9,8.6,8.6,y,y,NA,0,y,NA,NA,0.355555556,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,76,66,3,3.8,4.4,y,y,owner,0.6,y,NA,NA,0.511111111,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,77,67,9,NA,0.6,y,n,dog,NA,n,earlypress,NA,NA,NA
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,78,68,6,6.2,6.2,y,y,NA,0,y,NA,NA,0.422222222,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,79,69,3,4.2,4.4,y,y,owner,0.2,y,NA,NA,1,0.044444444
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,80,70,6,5.8,6,y,y,owner,0.2,y,NA,NA,1,0.155555556
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,81,71,6,5.8,5.6,y,y,dog,0.2,y,NA,NA,0.444444444,0.022222222
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,82,72,6,5.4,5.4,y,y,NA,0,y,NA,NA,0.288888889,0.088888889
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,83,73,3,3,3.8,y,y,owner,0.8,y,NA,1,0.2,0.244444444
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,84,74,6,6.6,6.4,y,y,dog,0.2,y,NA,NA,0.155555556,0.266666667
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,85,75,3,4,4.8,y,y,owner,0.8,y,NA,NA,0.933333333,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,86,76,9,8.6,8.4,y,y,dog,0.2,y,NA,NA,1,0.288888889
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,87,77,3,3.6,NA,n,y,owner,NA,n,nopress,1,1,1
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,88,78,9,NA,4.8,y,n,dog,NA,n,earlypress,NA,1,0.377777778
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,89,79,6,6,6,y,y,NA,0,y,NA,NA,0.4,0.133333333
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,90,80,9,9,NA,n,y,owner,NA,n,nopress,1,0.2,0.422222222
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,91,81,3,3.2,3.6,y,y,owner,0.4,y,NA,NA,0.444444444,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,92,82,3,4,4.4,y,y,owner,0.4,y,NA,NA,1,0.044444444
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,93,83,6,NA,6.6,y,n,dog,NA,n,earlypress,NA,0,0.244444444
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,4,94,84,9,9,7.4,y,y,dog,1.6,y,NA,NA,0.461538462,0
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,0,1,1,3,3.8,4.2,y,y,owner,0.4,y,NA,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,0,2,2,3,5,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,0,3,3,3,NA,1.4,y,n,dog,NA,n,earlypress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,0,4,4,3,NA,1.6,y,n,dog,NA,n,earlypress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,0,5,5,3,4,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,0,6,6,3,3.8,4.2,y,y,owner,0.4,y,NA,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,0,7,7,3,4.8,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,0,8,8,3,4.2,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,0,9,9,3,4,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,0,10,10,3,4.8,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,11,1,6,NA,0.8,y,n,dog,NA,n,earlypress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,12,2,9,NA,4.6,y,n,dog,NA,n,earlypress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,13,3,9,11,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,14,4,6,7.6,7.8,y,y,owner,0.2,y,NA,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,15,5,6,NA,3.6,y,n,dog,NA,n,earlypress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,16,6,3,4,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,17,7,3,NA,0.8,y,n,dog,NA,n,earlypress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,18,8,6,8,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,19,9,3,4.8,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,20,10,9,7.6,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,21,11,9,11.4,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,22,12,6,9.4,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,23,13,6,9,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,24,14,3,4.6,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,25,15,3,3.4,5.6,y,y,owner,2.2,n,latepress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,26,16,9,NA,8.2,y,n,dog,NA,n,earlypress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,27,17,9,12,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,28,18,3,6.6,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,29,19,6,6.6,7.6,y,y,owner,1,y,NA,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,30,20,3,3.6,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,1,31,21,9,11.4,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,32,22,3,3.8,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,33,23,9,9.4,11.6,y,y,owner,2.2,n,latepress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,34,24,3,4.2,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,35,25,6,8.4,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,36,26,9,9.4,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,37,27,9,7.2,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,38,28,3,4,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,39,29,9,NA,0.6,y,n,dog,NA,n,earlypress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,40,30,3,2.8,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,41,31,9,8.4,9.2,y,y,owner,0.8,y,NA,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,42,32,6,7.8,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,43,33,6,NA,0.8,y,n,dog,NA,n,earlypress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,44,34,3,3.2,5.8,y,y,owner,2.6,n,latepress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,45,35,3,3.6,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,46,36,6,8.4,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,47,37,9,9.8,NA,n,y,owner,NA,n,nopress,NA,NA,NA
akela,08/07/2017,11/10/2019,13/12/2010,2.25,intact,australiansepherd,male,0.58,4,a_nv,4,2,48,38,6,7.4,NA,n,y,owner,NA,n,nopress,NA,NA,NA
